"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"8099","tropical fruit","other vegetables","whole milk","mayonnaise"
"8100","brown bread","canned fish","soda","misc. beverages"
"8101","bottled beer","dental care","",""
"8102","fruit/vegetable juice","long life bakery product","newspapers",""
"8103","berries","rolls/buns","pastry","fruit/vegetable juice"
"8104","canned beer","","",""
"8105","other vegetables","brown bread","pastry","bottled water"
"8106","canned beer","","",""
"8107","other vegetables","","",""
"8108","meat","yogurt","cream cheese ","brown bread"
"8109","meat spreads","canned fish","",""
"8110","other vegetables","whole milk","dessert","chewing gum"
"8111","ham","light bulbs","",""
"8112","chocolate","specialty chocolate","",""
"8113","frankfurter","whole milk","white bread","brown bread"
"8114","processed cheese","white bread","sugar","cat food"
"8115","soda","fruit/vegetable juice","candy","shopping bags"
"8116","rolls/buns","","",""
"8117","chewing gum","","",""
"8118","root vegetables","herbs","",""
"8119","tropical fruit","dessert","yogurt","soda"
"8120","candy","","",""
"8121","detergent","","",""
"8122","tropical fruit","pip fruit","processed cheese","rolls/buns"
"8123","misc. beverages","fruit/vegetable juice","candy",""
"8124","sausage","yogurt","cat food",""
"8125","soda","liquor (appetizer)","",""
"8126","semi-finished bread","","",""
"8127","frankfurter","other vegetables","rolls/buns","white bread"
"8128","soda","white wine","chocolate","detergent"
"8129","sausage","frozen meals","shopping bags",""
"8130","citrus fruit","tropical fruit","pip fruit","chewing gum"
"8131","whole milk","yogurt","pastry","sweet spreads"
"8132","soda","","",""
"8133","misc. beverages","canned beer","",""
"8134","tropical fruit","whole milk","newspapers","shopping bags"
"8135","beef","other vegetables","bottled beer","red/blush wine"
"8136","shopping bags","","",""
"8137","other vegetables","","",""
"8138","frankfurter","tropical fruit","pip fruit","dessert"
"8139","beverages","domestic eggs","flour","margarine"
"8140","Instant food products","canned fruit","jam",""
"8141","sausage","pip fruit","curd","soda"
"8142","canned beer","cake bar","shopping bags",""
"8143","whole milk","yogurt","spread cheese","bottled water"
"8144","soda","","",""
"8145","sausage","ham","pip fruit","onions"
"8146","other vegetables","hard cheese","white bread","bottled water"
"8147","shopping bags","","",""
"8148","frankfurter","yogurt","UHT-milk","frozen vegetables"
"8149","coffee","soda","fruit/vegetable juice","white wine"
"8150","chewing gum","shopping bags","",""
"8151","bottled beer","","",""
"8152","cereals","","",""
"8153","chocolate marshmallow","","",""
"8154","other vegetables","semi-finished bread","",""
"8155","meat","other vegetables","salty snack",""
"8156","cocoa drinks","","",""
"8157","sausage","tropical fruit","butter","frozen meals"
"8158","pasta","fruit/vegetable juice","",""
"8159","whole milk","brown bread","",""
"8160","coffee","instant coffee","",""
"8161","tropical fruit","whole milk","domestic eggs","red/blush wine"
"8162","house keeping products","","",""
"8163","sausage","UHT-milk","brown bread","oil"
"8164","canned beer","brandy","shopping bags",""
"8165","rolls/buns","pastry","",""
"8166","ice cream","semi-finished bread","",""
"8167","liver loaf","whole milk","rolls/buns","soda"
"8168","frankfurter","hamburger meat","tropical fruit","other vegetables"
"8169","whole milk","yogurt","whipped/sour cream","rolls/buns"
"8170","kitchen towels","newspapers","",""
"8171","chewing gum","seasonal products","",""
"8172","soda","salty snack","cake bar","candy"
"8173","butter","dessert","yogurt","rolls/buns"
"8174","margarine","chewing gum","",""
"8175","chicken","tropical fruit","pip fruit","other vegetables"
"8176","sausage","rolls/buns","bottled water","soda"
"8177","newspapers","shopping bags","",""
"8178","soda","","",""
"8179","cat food","","",""
"8180","pip fruit","butter milk","UHT-milk","ice cream"
"8181","rolls/buns","male cosmetics","newspapers",""
"8182","soft cheese","ice cream","",""
"8183","whole milk","white bread","newspapers",""
"8184","soda","","",""
"8185","chicken","","",""
"8186","other vegetables","curd","pastry","pasta"
"8187","hygiene articles","flower (seeds)","",""
"8188","pastry","instant coffee","",""
"8189","ice cream","bottled beer","prosecco","dishes"
"8190","shopping bags","","",""
"8191","sausage","","",""
"8192","citrus fruit","yogurt","whipped/sour cream","shopping bags"
"8193","chocolate","","",""
"8194","beverages","","",""
"8195","bottled water","","",""
"8196","sausage","other vegetables","dessert",""
"8197","whipped/sour cream","","",""
"8198","root vegetables","other vegetables","whole milk","rolls/buns"
"8199","sugar","cereals","soda","soap"
"8200","ice cream","soda","",""
"8201","meat","pip fruit","whole milk","curd"
"8202","yogurt","frozen meals","pastry","potato products"
"8203","fruit/vegetable juice","bottled beer","salty snack","long life bakery product"
"8204","newspapers","","",""
"8205","frankfurter","ham","tropical fruit","pip fruit"
"8206","grapes","other vegetables","whole milk","yogurt"
"8207","sliced cheese","frozen meals","frozen fish","brown bread"
"8208","tropical fruit","dessert","yogurt","sliced cheese"
"8209","cream cheese ","rolls/buns","brown bread","canned vegetables"
"8210","fruit/vegetable juice","","",""
"8211","chicken","root vegetables","other vegetables","whole milk"
"8212","frozen vegetables","domestic eggs","brown bread","canned vegetables"
"8213","root vegetables","other vegetables","white bread","baking powder"
"8214","other vegetables","fruit/vegetable juice","salty snack","napkins"
"8215","coffee","tea","",""
"8216","soda","","",""
"8217","chicken","pork","margarine","specialty fat"
"8218","bottled beer","","",""
"8219","ice cream","","",""
"8220","hamburger meat","cream cheese ","brown bread",""
"8221","pork","rolls/buns","",""
"8222","ice cream","","",""
"8223","other vegetables","coffee","soda","dental care"
"8224","bottled beer","","",""
"8225","misc. beverages","dishes","",""
"8226","beef","tropical fruit","whole milk","margarine"
"8227","soda","candles","",""
"8228","whole milk","meat spreads","fruit/vegetable juice",""
"8229","chicken","yogurt","whipped/sour cream",""
"8230","dessert","specialty chocolate","",""
"8231","pastry","margarine","coffee",""
"8232","sausage","whole milk","yogurt",""
"8233","onions","frozen meals","",""
"8234","tropical fruit","other vegetables","UHT-milk","domestic eggs"
"8235","pot plants","","",""
"8236","flower soil/fertilizer","","",""
"8237","ice cream","","",""
"8238","soda","","",""
"8239","pastry","soda","",""
"8240","pip fruit","root vegetables","whole milk","butter"
"8241","curd","yogurt","UHT-milk","specialty cheese"
"8242","white bread","margarine","cereals","pickled vegetables"
"8243","coffee","cake bar","",""
"8244","meat","other vegetables","whole milk","hard cheese"
"8245","fruit/vegetable juice","long life bakery product","",""
"8246","whole milk","hard cheese","rolls/buns","bottled water"
"8247","zwieback","","",""
"8248","liquor (appetizer)","","",""
"8249","pip fruit","whole milk","",""
"8250","canned beer","","",""
"8251","Instant food products","soda","",""
"8252","pork","yogurt","",""
"8253","butter milk","","",""
"8254","oil","","",""
"8255","meat","pork","butter","brown bread"
"8256","specialty chocolate","kitchen towels","",""
"8257","tropical fruit","pip fruit","whole milk","cream cheese "
"8258","frozen vegetables","ice cream","bottled water","shopping bags"
"8259","soda","canned beer","",""
"8260","soda","","",""
"8261","meat","whole milk","yogurt",""
"8262","frankfurter","tropical fruit","other vegetables","dessert"
"8263","UHT-milk","cream cheese ","brown bread","pastry"
"8264","hygiene articles","","",""
"8265","whipped/sour cream","frozen vegetables","",""
"8266","tropical fruit","root vegetables","other vegetables","whole milk"
"8267","ice cream","pasta","canned vegetables","soda"
"8268","salty snack","","",""
"8269","sausage","newspapers","",""
"8270","tropical fruit","whipped/sour cream","hygiene articles",""
"8271","pork","processed cheese","canned beer",""
"8272","bottled beer","flower (seeds)","",""
"8273","whole milk","cat food","pet care","coffee"
"8274","soda","misc. beverages","chocolate",""
"8275","frozen vegetables","","",""
"8276","whole milk","processed cheese","soda","cake bar"
"8277","chocolate","specialty bar","shopping bags",""
"8278","sausage","tropical fruit","root vegetables","other vegetables"
"8279","hard cheese","fruit/vegetable juice","long life bakery product","waffles"
"8280","pork","other vegetables","whole milk","frozen vegetables"
"8281","brown bread","roll products ","canned vegetables","sparkling wine"
"8282","chocolate","dental care","",""
"8283","beef","whole milk","curd","white bread"
"8284","napkins","","",""
"8285","sausage","chicken","hamburger meat","other vegetables"
"8286","whole milk","butter milk","whipped/sour cream","white bread"
"8287","tropical fruit","pip fruit","UHT-milk","cream cheese "
"8288","pasta","sauces","baking powder","cat food"
"8289","pet care","bottled water","bottled beer","salty snack"
"8290","shopping bags","","",""
"8291","whole milk","yogurt","domestic eggs","rolls/buns"
"8292","fruit/vegetable juice","long life bakery product","specialty chocolate","specialty bar"
"8293","bottled water","waffles","chocolate",""
"8294","beef","specialty chocolate","",""
"8295","brown bread","","",""
"8296","bottled beer","","",""
"8297","sausage","tropical fruit","yogurt","frozen meals"
"8298","cat food","bottled water","soda","bottled beer"
"8299","waffles","","",""
"8300","pip fruit","other vegetables","whole milk","butter"
"8301","whipped/sour cream","sliced cheese","pastry","hygiene articles"
"8302","napkins","","",""
"8303","frankfurter","rolls/buns","",""
"8304","UHT-milk","mustard","",""
"8305","whole milk","brown bread","",""
"8306","butter milk","brown bread","",""
"8307","whole milk","","",""
"8308","herbs","whole milk","curd","cat food"
"8309","soda","","",""
"8310","tropical fruit","root vegetables","other vegetables","whole milk"
"8311","yogurt","rice","oil","bathroom cleaner"
"8312","chicken","rolls/buns","bottled water",""
"8313","curd","cream cheese ","frozen fruits","margarine"
"8314","cocoa drinks","soda","",""
"8315","pork","beef","other vegetables","whole milk"
"8316","yogurt","margarine","fruit/vegetable juice",""
"8317","hamburger meat","","",""
"8318","hamburger meat","onions","ice cream","misc. beverages"
"8319","shopping bags","","",""
"8320","root vegetables","onions","dessert","mayonnaise"
"8321","brown bread","salt","canned fish","bottled water"
"8322","fruit/vegetable juice","bottled beer","popcorn",""
"8323","butter","spread cheese","ice cream","rolls/buns"
"8324","soda","long life bakery product","chocolate","chocolate marshmallow"
"8325","UHT-milk","sugar","coffee","canned beer"
"8326","whole milk","cat food","",""
"8327","sausage","meat","chicken","beef"
"8328","citrus fruit","root vegetables","herbs","whole milk"
"8329","butter","domestic eggs","roll products ","coffee"
"8330","long life bakery product","waffles","",""
"8331","canned beer","specialty bar","",""
"8332","whole milk","rolls/buns","canned beer","chewing gum"
"8333","oil","","",""
"8334","sausage","meat","berries","onions"
"8335","other vegetables","soft cheese","hard cheese","cream cheese "
"8336","mayonnaise","frozen meals","domestic eggs","rolls/buns"
"8337","mustard","canned fish","shopping bags",""
"8338","frankfurter","mayonnaise","margarine","mustard"
"8339","ketchup","seasonal products","",""
"8340","sliced cheese","rolls/buns","",""
"8341","sausage","meat","whole milk","curd"
"8342","dessert","yogurt","brown bread","dental care"
"8343","male cosmetics","","",""
"8344","chicken","pip fruit","whole milk","dessert"
"8345","margarine","soda","canned beer","liquor"
"8346","newspapers","","",""
"8347","butter milk","yogurt","",""
"8348","pip fruit","yogurt","cream cheese ","meat spreads"
"8349","coffee","specialty chocolate","seasonal products","cookware"
"8350","shopping bags","","",""
"8351","sausage","berries","sliced cheese","cream cheese "
"8352","butter","yogurt","",""
"8353","pork","other vegetables","",""
"8354","cat food","","",""
"8355","hamburger meat","berries","other vegetables","UHT-milk"
"8356","hard cheese","processed cheese","canned vegetables","soda"
"8357","waffles","specialty bar","newspapers",""
"8358","tropical fruit","whole milk","newspapers",""
"8359","whole milk","yogurt","beverages","rolls/buns"
"8360","bottled water","fruit/vegetable juice","",""
"8361","softener","newspapers","",""
"8362","rolls/buns","pastry","semi-finished bread",""
"8363","tropical fruit","whole milk","",""
"8364","dessert","soft cheese","brown bread","pastry"
"8365","soda","long life bakery product","hygiene articles","shopping bags"
"8366","newspapers","","",""
"8367","hamburger meat","herbs","UHT-milk","domestic eggs"
"8368","oil","chocolate","",""
"8369","chicken","","",""
"8370","other vegetables","whole milk","specialty cheese",""
"8371","fruit/vegetable juice","","",""
"8372","chocolate","specialty bar","candy","napkins"
"8373","flower (seeds)","","",""
